,title,link
0,Climate action needs new frontline leadership,https://ted.com/talks/ozawa_bineshi_albert_climate_action_needs_new_frontline_leadership
1,The dark history of the overthrow of Hawaii,https://ted.com/talks/sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii
2,How play can spark new ideas for your business,https://ted.com/talks/martin_reeves_how_play_can_spark_new_ideas_for_your_business
3,Why is China appointing judges to combat climate change?,https://ted.com/talks/james_k_thornton_why_is_china_appointing_judges_to_combat_climate_change
4,Cement's carbon problem — and 2 ways to fix it,https://ted.com/talks/mahendra_singhi_cement_s_carbon_problem_and_2_ways_to_fix_it
5,The tragedy of air pollution — and an urgent demand for clean air,https://ted.com/talks/rosamund_adoo_kissi_debrah_the_tragedy_of_air_pollution_and_an_urgent_demand_for_clean_air
6,The myth of Narcissus and Echo,https://ted.com/talks/iseult_gillespie_the_myth_of_narcissus_and_echo
7,You deserve the right to repair your stuff,https://ted.com/talks/gay_gordon_byrne_you_deserve_the_right_to_repair_your_stuff
8,What nature can teach us about sustainable business,https://ted.com/talks/erin_meezan_what_nature_can_teach_us_about_sustainable_business
9,The origins of blackface and Black stereotypes,https://ted.com/talks/dwan_reece_the_origins_of_blackface_and_black_stereotypes
10,A sex therapist's secret to rediscovering your spark,https://ted.com/talks/ian_kerner_a_sex_therapist_s_secret_to_rediscovering_your_spark
11,How do jetpacks work? And why don't we all have them?,https://ted.com/talks/richard_browning_how_do_jetpacks_work_and_why_don_t_we_all_have_them
12,What regret can teach you about living a good life,https://ted.com/talks/daniel_h_pink_what_regret_can_teach_you_about_living_a_good_life
13,"How to fix the ""bugs"" in the net-zero code",https://ted.com/talks/lucas_joppa_how_to_fix_the_bugs_in_the_net_zero_code
14,"""Big Yellow Taxi"" / ""Song for Sunshine""",https://ted.com/talks/belle_and_sebastian_big_yellow_taxi_song_for_sunshine
15,How film captures the space between hope and despair,https://ted.com/talks/mounia_akl_how_film_captures_the_space_between_hope_and_despair
