,author,date,likes,views
0,Ozawa Bineshi Albert,December 2021,12K,404K
1,Sydney Iaukea,February 2022,6.4K,214K
2,Martin Reeves,September 2021,12K,412K
3,James K. Thornton,October 2021,12K,427K
4,Mahendra Singhi,October 2021,72,2.4K
5,Rosamund Adoo-Kissi-Debrah,October 2021,12K,422K
6,Iseult Gillespie,February 2022,12K,412K
7,Gay Gordon-Byrne,August 2021,13K,455K
8,Erin Meezan,February 2022,1.9K,66K
9,Dwan Reece,March 2019,17K,584K
10,Ian Kerner,August 2021,2.6K,87K
11,Richard Browning,February 2022,6.4K,213K
12,Daniel H. Pink,January 2022,18K,622K
13,Lucas Joppa,October 2021,15K,526K
14, Belle and Sebastian,October 2021,690,23K
15,Mounia Akl,December 2021,18K,628K
16,Yana Buhrer Tavanier,February 2022,13K,459K
17,Susan Ruffo,October 2021,15K,522K
18,Tim Dunn,February 2022,2.9K,96K
19, Let It Happen,October 2021,135,4.5K
20,Dave Matthews,October 2021,49,1.6K
21,Zoë Karl-Waithaka,September 2021,20K,667K
22,Dan Kwartler,February 2022,13K,456K
23,Dan Jørgensen,October 2021,18K,632K
24,Lei Li,August 2021,2.9K,97K
25,Nick Turner and Whitney Pennington Rodgers,November 2021,18K,609K
26,Elizabeth Cox,February 2022,10K,363K
27, Kaz,December 2021,19K,649K
28,Katie McGinty,January 2022,4K,134K
29,Rachel Kyte,October 2021,18K,613K
30,Katie Paterson,December 2021,24K,817K
31,Emily Zobel Marshall,January 2022,12K,411K
32,Deval Patrick,July 2021,21K,700K
33,Rha Goddess and Deepa Purushothaman,December 2021,20K,678K
34,Zac Goldsmith,October 2021,913,30K
35,Thomas W. Cronin,January 2022,22K,743K
36,Gala Marija Vrbanic,December 2021,20K,669K
37,Li-Huei Tsai,August 2021,23K,766K
38,Emily Pilloton-Lam,December 2021,23K,789K
39,Dustin Burke,September 2021,24K,800K
40,Marie Brodsky,January 2022,18K,601K
41,Gabrielle Walker,October 2021,21K,732K
42,Reuben Jonathan Miller,November 2021,22K,751K
43,Iseult Gillespie,January 2022,29K,998K
44,Carlos M. Duarte,August 2021,23K,786K
45,Candace Parker,December 2021,32K,1M
46,Jenny Scheinman with Nels Cline and Todd Sickafoose,August 2021,606,20K
47,Emma Bryce,January 2022,70K,2.3M
48,Jennifer Aaker and Naomi Bagdonas,August 2021,32K,1M
49,American Family Insurance,January 2022,312,10K
50,Sam Hester,June 2021,26K,880K
51,Ann-Helén Bay,January 2022,47K,1.5M
52,Charlie Puth,October 2021,580,19K
53,Bjørn Otto Sverdrup,October 2021,24K,825K
54,Pardis Parker,August 2021,2.7K,90K
55,Axel Reinaud,September 2021,26K,888K
56,Brittany K. Barnett,November 2021,25K,839K
57,Liu Thai Ker,March 2021,28K,951K
58,Iseult Gillespie,January 2022,22K,761K
59,Warren Valdmanis,September 2021,29K,992K
60,Sophia Kianni,October 2021,25K,861K
61,American Family Insurance,January 2022,342,11K
62,Noah Charney,January 2022,33K,1.1M
63,Anna Malaika Tubbs,December 2021,25K,864K
64,Priscilla Chomba-Kinywa,April 2021,33K,1.1M
65, Countdown,October 2021,332,11K
66,Alex Gendler,December 2021,21K,724K
67,Matt Walker,December 2021,8.8K,295K
68,Doug MacKay,December 2021,40K,1.3M
69,Jamil Zaki,August 2021,33K,1.1M
70,Halla Tómasdóttir,December 2021,29K,969K
71,Gowri Shankar,May 2021,30K,1M
72,Virginia Smith,March 2021,29K,986K
73,Jim Hagemann Snabe,October 2021,25K,837K
74,Ned Blackhawk and Jeffrey D. Means,December 2021,15K,527K
75,Karen Lellouche Tordjman,September 2021,32K,1M
76,Tom Osborn,August 2021,32K,1M
77,Matt Walker,December 2021,9.3K,311K
78,Steve Rothstein,December 2021,37K,1.2M
79,Vishaan Chakrabarti,October 2021,30K,1M
80, Joan As Police Woman,August 2021,115,3.8K
81,Jennifer B. Nuzzo,December 2021,33K,1.1M
82,Elizabeth Zion,December 2021,31K,1M
83,Makhtoum Abdalla,December 2021,32K,1M
84,Jane Velkovski,December 2021,31K,1M
